City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,mangrol,21.1167,70.1167,298.71,30,22,5.91,IN,1699742922
323,keflavik,64.0049,-22.5624,276.39,81,75,6.69,IS,1699742728
324,cox's bazar,21.4532,91.9798,292.76,85,4,2.99,BD,1699742922
325,shepetivka,50.1855,27.0637,279.37,88,100,3.89,UA,1699742922
326,port lincoln,-34.7333,135.8667,287.75,60,99,6.66,AU,1699742912
327,vila do maio,15.1333,-23.2167,298.59,68,11,4.71,CV,1699742923
328,olenino,56.2092,33.4889,275.62,89,100,4.13,RU,1699742923
329,santa elena de uairen,4.6167,-61.1333,294.82,80,79,0.23,VE,1699742923
330,vize,41.5725,27.7658,289.17,78,92,3.2,TR,1699742923
331,kimbe,-5.5502,150.1429,302.33,58,89,3.7,PG,1699742923
332,carnarvon,-24.8667,113.6333,294.69,75,92,4.28,AU,1699742924
333,alamosa,37.4695,-105.87,282.14,27,0,0.0,US,1699742924
334,kirensk,57.7853,108.1119,260.35,92,29,1.79,RU,1699742924
335,bayganin,48.6947,55.8742,275.58,81,61,5.01,KZ,1699742924
336,howrah,22.5892,88.3103,295.15,88,0,1.54,IN,1699742924
337,maumere,-8.6199,122.2111,301.26,71,66,1.42,ID,1699742834
338,nueva loja,0.0847,-76.8828,303.16,66,40,2.06,EC,1699742924
339,kaga bandoro,6.9896,19.1874,294.55,97,36,0.88,CF,1699742925
340,ventspils,57.3894,21.5606,280.11,100,100,2.06,LV,1699742925
341,thal,35.4791,72.2439,279.07,42,44,3.34,PK,1699742925
342,east london,-33.0153,27.9116,291.8,72,54,7.66,ZA,1699742925
343,woolgoolga,-30.1106,153.2007,299.28,66,6,5.36,AU,1699742840
344,itanhaem,-24.1831,-46.7889,297.8,86,5,2.64,BR,1699742926
345,arvika,59.6553,12.5852,276.49,97,100,3.11,SE,1699742926
346,bocaiuva,-17.1078,-43.815,303.99,34,26,0.53,BR,1699742926
347,kapuskasing,49.4169,-82.4331,271.2,93,75,2.06,CA,1699742926
348,sinabang,2.4803,96.3801,299.17,85,100,1.98,ID,1699742926
349,perth,-31.9333,115.8333,289.25,74,0,8.75,AU,1699742750
350,ternate,0.8,127.4,300.85,76,99,0.59,ID,1699742927
351,hopelchen,19.7667,-89.85,301.83,66,93,2.5,MX,1699742927
352,douglas,41.3,-96.167,286.11,54,40,6.17,US,1699742927
353,jolo,6.05,121.0167,299.69,82,33,0.67,PH,1699742927
354,camiri,-20.05,-63.5167,310.03,30,20,2.06,BO,1699742836
355,kingscliff,-28.2667,153.5667,298.68,65,19,4.63,AU,1699742927
356,al kharijah,25.4514,30.5464,299.28,39,100,4.13,EG,1699742927
357,touros,-5.1989,-35.4608,298.77,75,5,5.97,BR,1699742842
358,verdal,63.7933,11.4817,271.17,66,55,3.54,NO,1699742928
359,todos santos,23.45,-110.2167,302.84,53,0,2.3,MX,1699742928
360,bridlington,54.0831,-0.1919,278.72,89,18,0.45,GB,1699742928
361,heinola,61.2056,26.0381,276.48,96,100,3.63,FI,1699742928
